"id","title","author","publisher","price","availability","genre","createdAt","updatedAt","imageUrl"
50,"Purity in Death","J.D. Robb","Berkley Publishing Group","29.99",10,"General","2025-09-08T08:05:13.419Z","2025-09-08T08:05:13.419Z","http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg"
51,"This Year It Will Be Different: And Other Stories","Maeve Binchy","Dell","29.99",10,"General","2025-09-08T08:05:13.422Z","2025-09-08T08:05:13.422Z","http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg"
52,"Proxies","Laura J. Mixon","Tor Books","29.99",10,"General","2025-09-08T08:05:13.426Z","2025-09-08T08:05:13.426Z","http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg"
53,"Left Behind: A Novel of the Earth's Last Days (Left Behind #1)","Tim Lahaye","Tyndale House Publishers","29.99",10,"General","2025-09-08T08:05:13.431Z","2025-09-08T08:05:13.431Z","http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg"
54,"The Street Lawyer","JOHN GRISHAM","Dell","29.99",10,"General","2025-09-08T08:05:13.436Z","2025-09-08T08:05:13.436Z","http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg"
55,"Love, Medicine and Miracles","M.D. Bernie S. Siegel","HarperCollins Publishers","29.99",10,"General","2025-09-08T08:05:13.441Z","2025-09-08T08:05:13.441Z","http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg"
56,"All the King's Men","Robert Penn Warren","Harvest Books","29.99",10,"General","2025-09-08T08:05:13.447Z","2025-09-08T08:05:13.447Z","http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg"
57,"Pacific Northwest","Hans Johannes Hoefer","Chambers Harrap Publishers Ltd","29.99",10,"General","2025-09-08T08:05:13.453Z","2025-09-08T08:05:13.453Z","http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg"
58,"A Soldier of the Great War","Mark Helprin","Avon Books","29.99",10,"General","2025-09-08T08:05:13.458Z","2025-09-08T08:05:13.458Z","http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg"
59,"Getting Well Again","O. Carol Simonton Md","Bantam","29.99",10,"General","2025-09-08T08:05:13.464Z","2025-09-08T08:05:13.464Z","http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg"
60,"Northwest Wines and Wineries","Chuck Hill","Speed Graphics","29.99",10,"General","2025-09-08T08:05:13.468Z","2025-09-08T08:05:13.468Z","http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg"
61,"An Atmosphere of Eternity: Stories of India","David Iglehart","Sunflower Press","29.99",10,"General","2025-09-08T08:05:13.473Z","2025-09-08T08:05:13.473Z","http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg"
62,"LONESOME DOVE","Larry McMurtry","Pocket","29.99",10,"General","2025-09-08T08:05:13.478Z","2025-09-08T08:05:13.478Z","http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg"
63,"Shabanu: Daughter of the Wind (Border Trilogy)","SUZANNE FISHER STAPLES","Laurel Leaf","29.99",10,"General","2025-09-08T08:05:13.484Z","2025-09-08T08:05:13.484Z","http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg"
64,"Haveli (Laurel Leaf Books)","SUZANNE FISHER STAPLES","Laurel Leaf","29.99",10,"General","2025-09-08T08:05:13.489Z","2025-09-08T08:05:13.489Z","http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg"
65,"Lieux dits","Michel Tournier","Gallimard","29.99",10,"General","2025-09-08T08:05:13.495Z","2025-09-08T08:05:13.495Z","http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg"
66,"The Dragons of Eden: Speculations on the Evolution of Human Intelligence","Carl Sagan","Ballantine Books","29.99",10,"General","2025-09-08T08:05:13.501Z","2025-09-08T08:05:13.501Z","http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg"
67,"The yawning heights","Aleksandr Zinoviev","Random House","29.99",10,"General","2025-09-08T08:05:13.506Z","2025-09-08T08:05:13.506Z","http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg"
68,"Breathing Lessons","Anne Tyler","Berkley Publishing Group","29.99",10,"General","2025-09-08T08:05:13.512Z","2025-09-08T08:05:13.512Z","http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg"
69,"The Joy Luck Club","Amy Tan","Prentice Hall (K-12)","29.99",10,"General","2025-09-08T08:05:13.517Z","2025-09-08T08:05:13.517Z","http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg"
70,"Heart of Darkness (Wordsworth Collection)","Joseph Conrad","NTC/Contemporary Publishing Company","29.99",10,"General","2025-09-08T08:05:13.520Z","2025-09-08T08:05:13.520Z","http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg"
71,"The Angel Is Near","Deepak Chopra","St. Martin's Press","29.99",10,"General","2025-09-08T08:05:13.524Z","2025-09-08T08:05:13.524Z","http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg"
72,"Tess of the D'Urbervilles (Wordsworth Classics)","Thomas Hardy","NTC/Contemporary Publishing Company","29.99",10,"General","2025-09-08T08:05:13.528Z","2025-09-08T08:05:13.528Z","http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg"
73,"The Adventures of Drew and Ellie: The Magical Dress","Charles Noland","1stBooks Library","29.99",10,"General","2025-09-08T08:05:13.531Z","2025-09-08T08:05:13.531Z","http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg"
74,"The Accidental Virgin","Valerie Frankel","Avon Trade","29.99",10,"General","2025-09-08T08:05:13.536Z","2025-09-08T08:05:13.536Z","http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg"
75,"The Tao of Pooh","Benjamin Hoff","Penguin Books","29.99",10,"General","2025-09-08T08:05:13.541Z","2025-09-08T08:05:13.541Z","http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg"
76,"Seabiscuit","LAURA HILLENBRAND","Ballantine Books","29.99",10,"General","2025-09-08T08:05:13.545Z","2025-09-08T08:05:13.545Z","http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg"
77,"The Prince","Niccolo Machiavelli","Signet Book","29.99",10,"General","2025-09-08T08:05:13.548Z","2025-09-08T08:05:13.548Z","http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg"
78,"Life's Little Instruction Book (Life's Little Instruction Books (Paperback))","H. Jackson Brown","Thomas Nelson","29.99",10,"General","2025-09-08T08:05:13.551Z","2025-09-08T08:05:13.551Z","http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg"
79,"Starship Troopers","Robert A. Heinlein","Ace Books","29.99",10,"General","2025-09-08T08:05:13.554Z","2025-09-08T08:05:13.554Z","http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg"
80,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)","PHILIP PULLMAN","Laurel Leaf","29.99",10,"General","2025-09-08T08:05:13.557Z","2025-09-08T08:05:13.557Z","http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg"
81,"Black Beauty (Illustrated Classics)","Anna Sewell","Landoll","29.99",10,"General","2025-09-08T08:05:13.560Z","2025-09-08T08:05:13.560Z","http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg"
82,"Anil's Ghost","MICHAEL ONDAATJE","Knopf","29.99",10,"General","2025-09-08T08:05:13.563Z","2025-09-08T08:05:13.563Z","http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg"
83,"Prescription for Terror","Sandra Levy Ceren","Andrew Scott Publishers","29.99",10,"General","2025-09-08T08:05:13.565Z","2025-09-08T08:05:13.565Z","http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg"
84,"Modern Manners: An Etiquette Book for Rude People","P.J. O'Rourke","Atlantic Monthly Press","29.99",10,"General","2025-09-08T08:05:13.569Z","2025-09-08T08:05:13.569Z","http://images.amazon.com/images/P/087113375X.01.LZZZZZZZ.jpg"
85,"Turning Thirty","Mike Gayle","Hodder &amp; Stoughton General Division","29.99",10,"General","2025-09-08T08:05:13.572Z","2025-09-08T08:05:13.572Z","http://images.amazon.com/images/P/0340767936.01.LZZZZZZZ.jpg"
86,"Decipher","Stel Pavlou","Simon &amp; Schuster (Trade Division)","29.99",10,"General","2025-09-08T08:05:13.575Z","2025-09-08T08:05:13.575Z","http://images.amazon.com/images/P/0743403843.01.LZZZZZZZ.jpg"
87,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell","Sarah Payne Stuart","Perennial","29.99",10,"General","2025-09-08T08:05:13.578Z","2025-09-08T08:05:13.578Z","http://images.amazon.com/images/P/0060930365.01.LZZZZZZZ.jpg"
88,"Standing Firm: A Vice-Presidential Memoir","Dan Quayle","Harpercollins","29.99",10,"General","2025-09-08T08:05:13.583Z","2025-09-08T08:05:13.583Z","http://images.amazon.com/images/P/0060177586.01.LZZZZZZZ.jpg"
89,"Team Bush : Leadership Lessons from the Bush White House","Donald F. Kettl","McGraw-Hill","29.99",10,"General","2025-09-08T08:05:13.586Z","2025-09-08T08:05:13.586Z","http://images.amazon.com/images/P/0071416331.01.LZZZZZZZ.jpg"
90,"The Right Man : The Surprise Presidency of George W. Bush","DAVID FRUM","Random House","29.99",10,"General","2025-09-08T08:05:13.588Z","2025-09-08T08:05:13.588Z","http://images.amazon.com/images/P/0375509038.01.LZZZZZZZ.jpg"
91,"Daybreakers Louis Lamour Collection","Louis Lamour","Bantam Doubleday Dell","29.99",10,"General","2025-09-08T08:05:13.591Z","2025-09-08T08:05:13.591Z","http://images.amazon.com/images/P/0553062042.01.LZZZZZZZ.jpg"
92,"The Catcher in the Rye","J.D. Salinger","Little, Brown","29.99",10,"General","2025-09-08T08:05:13.595Z","2025-09-08T08:05:13.595Z","http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg"
93,"El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish))","J. R. R. Tolkien","Minotauro","29.99",10,"General","2025-09-08T08:05:13.600Z","2025-09-08T08:05:13.600Z","http://images.amazon.com/images/P/8445071408.01.LZZZZZZZ.jpg"
94,"El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback))","J. R. R. Tolkien","Minotauro","29.99",10,"General","2025-09-08T08:05:13.605Z","2025-09-08T08:05:13.605Z","http://images.amazon.com/images/P/8445071769.01.LZZZZZZZ.jpg"
95,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)","J. R. R. Tolkien","Distribooks","29.99",10,"General","2025-09-08T08:05:13.608Z","2025-09-08T08:05:13.608Z","http://images.amazon.com/images/P/8445071777.01.LZZZZZZZ.jpg"
96,"Midnight in the Garden of Good and Evil: A Savannah Story","John Berendt","Random House","29.99",10,"General","2025-09-08T08:05:13.611Z","2025-09-08T08:05:13.611Z","http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg"
97,"Pretend You Don't See Her","Mary Higgins Clark","Pocket","29.99",10,"General","2025-09-08T08:05:13.615Z","2025-09-08T08:05:13.615Z","http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg"
98,"Fast Women","Jennifer Crusie","St. Martin's Press","29.99",10,"General","2025-09-08T08:05:13.619Z","2025-09-08T08:05:13.619Z","http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg"
99,"Female Intelligence","Jane Heller","St. Martin's Press","29.99",10,"General","2025-09-08T08:05:13.623Z","2025-09-08T08:05:13.623Z","http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg"
100,"Pasquale's Nose: Idle Days in an Italian Town","Michael Rips","Back Bay Books","29.99",10,"General","2025-09-08T08:05:13.626Z","2025-09-08T08:05:13.626Z","http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg"
101,"The Gospel of Judas: A Novel","Simon Mawer","Back Bay Books","29.99",10,"General","2025-09-08T08:05:13.629Z","2025-09-08T08:05:13.629Z","http://images.amazon.com/images/P/0316973742.01.LZZZZZZZ.jpg"
102,"Prize Stories, 1987: The O'Henry Awards","William Abrahams","Doubleday Books","29.99",10,"General","2025-09-08T08:05:13.632Z","2025-09-08T08:05:13.632Z","http://images.amazon.com/images/P/0385235941.01.LZZZZZZZ.jpg"
103,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!","Robert T. Kiyosaki","Warner Books","29.99",10,"General","2025-09-08T08:05:13.634Z","2025-09-08T08:05:13.634Z","http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg"
104,"The Pillars of the Earth","Ken Follett","Signet Book","29.99",10,"General","2025-09-08T08:05:13.638Z","2025-09-08T08:05:13.638Z","http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg"
105,"McDonald's: Behind the Arches","John F. Love","Bantam","29.99",10,"General","2025-09-08T08:05:13.641Z","2025-09-08T08:05:13.641Z","http://images.amazon.com/images/P/0553347594.01.LZZZZZZZ.jpg"
106,"Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!","Robert G. Allen","Fireside","29.99",10,"General","2025-09-08T08:05:13.644Z","2025-09-08T08:05:13.644Z","http://images.amazon.com/images/P/0671621009.01.LZZZZZZZ.jpg"
107,"Corelli's Mandolin : A Novel","LOUIS DE BERNIERES","Vintage","29.99",10,"General","2025-09-08T08:05:13.647Z","2025-09-08T08:05:13.647Z","http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg"
108,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans","Pam Proctor","Fireside","29.99",10,"General","2025-09-08T08:05:13.649Z","2025-09-08T08:05:13.649Z","http://images.amazon.com/images/P/0684822733.01.LZZZZZZZ.jpg"
109,"The Five People You Meet in Heaven","Mitch Albom","Hyperion","29.99",10,"General","2025-09-08T08:05:13.652Z","2025-09-08T08:05:13.652Z","http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg"
110,"Tu Nombre Escrito En El Agua (La Sonrisa Vertical)","Irene Gonzalez Frei","Tusquets","29.99",10,"General","2025-09-08T08:05:13.655Z","2025-09-08T08:05:13.655Z","http://images.amazon.com/images/P/8472238822.01.LZZZZZZZ.jpg"
111,"Relics (Star Trek: The Next Generation)","Michael Jan Friedman","Star Trek","29.99",10,"General","2025-09-08T08:05:13.658Z","2025-09-08T08:05:13.658Z","http://images.amazon.com/images/P/0671864769.01.LZZZZZZZ.jpg"
112,"Bless The Beasts And Children : Bless The Beasts And Children","Glendon Swarthout","Pocket","29.99",10,"General","2025-09-08T08:05:13.664Z","2025-09-08T08:05:13.664Z","http://images.amazon.com/images/P/0671521519.01.LZZZZZZZ.jpg"
113,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)","Neal Barrett Jr.","Dell","29.99",10,"General","2025-09-08T08:05:13.667Z","2025-09-08T08:05:13.667Z","http://images.amazon.com/images/P/0440222303.01.LZZZZZZZ.jpg"
114,"Blood Oath","David Morrell","St. Martin's Press","29.99",10,"General","2025-09-08T08:05:13.671Z","2025-09-08T08:05:13.671Z","http://images.amazon.com/images/P/0312953453.01.LZZZZZZZ.jpg"
115,"The Alibi","Sandra Brown","Warner Books","29.99",10,"General","2025-09-08T08:05:13.674Z","2025-09-08T08:05:13.674Z","http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg"
116,"The Beach House","James Patterson","Warner Books","29.99",10,"General","2025-09-08T08:05:13.678Z","2025-09-08T08:05:13.678Z","http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg"
117,"A Kiss Remembered","Sandra Brown","Warner Books","29.99",10,"General","2025-09-08T08:05:13.681Z","2025-09-08T08:05:13.681Z","http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg"
118,"The Short Forever","Stuart Woods","Signet Book","29.99",10,"General","2025-09-08T08:05:13.685Z","2025-09-08T08:05:13.685Z","http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg"
119,"Dead Aim","IRIS JOHANSEN","Bantam Books","29.99",10,"General","2025-09-08T08:05:13.688Z","2025-09-08T08:05:13.688Z","http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg"
